ECV,7,5,3,8,0.8324
ECV,7,5,3,9,0.6054
ECV,7,5,3,10,0.6282
ECV,8,5,3,1,0.7073
ECV,8,5,3,2,0.6874
ECV,8,5,3,3,0.6726
ECV,8,5,3,4,0.6813
ECV,8,5,3,5,0.6394
ECV,8,5,3,6,0.5997
ECV,8,5,3,7,0.7540
ECV,8,5,3,8,0.7313
ECV,8,5,3,9,0.5538
ECV,8,5,3,10,0.7491
ECV,9,5,3,1,0.6853
ECV,9,5,3,2,0.5697
ECV,9,5,3,3,0.6391
ECV,9,5,3,4,0.5230
ECV,9,5,3,5,0.5833
ECV,9,5,3,6,0.6178
ECV,9,5,3,7,0.6383
ECV,9,5,3,8,0.5548
ECV,9,5,3,9,0.6056
ECV,9,5,3,10,0.5788
FF,3,5,3,1,0.9614
FF,3,5,3,2,0.8878
FF,3,5,3,3,0.9180
FF,3,5,3,4,0.9289
FF,3,5,3,5,0.8353
FF,3,5,3,6,0.8421
FF,3,5,3,7,0.7811
FF,3,5,3,8,0.8638
FF,3,5,3,9,0.8421
FF,3,5,3,10,0.8209
FF,4,5,3,1,0.8566
FF,4,5,3,2,0.9211
FF,4,5,3,3,0.7355
FF,4,5,3,4,0.8256
FF,4,5,3,5,0.8073
FF,4,5,3,6,0.7602
FF,4,5,3,7,0.7483
FF,4,5,3,8,0.7989
FF,4,5,3,9,0.8256
FF,4,5,3,10,0.8109
FF,5,5,3,1,0.7375
FF,5,5,3,2,0.7344
FF,5,5,3,3,0.7454
FF,5,5,3,4,0.7495
FF,5,5,3,5,0.7805
FF,5,5,3,6,0.7575
FF,5,5,3,7,0.7493
FF,5,5,3,8,0.7593
FF,5,5,3,9,0.7441
FF,5,5,3,10,0.7957
FF,6,5,3,1,0.7345
FF,6,5,3,2,0.7334
FF,6,5,3,3,0.8578
FF,6,5,3,4,0.8997
FF,6,5,3,5,0.7108
FF,6,5,3,6,0.8412
FF,6,5,3,7,0.7071
FF,6,5,3,8,0.7422
FF,6,5,3,9,0.8842
FF,6,5,3,10,0.7202
FF,7,5,3,1,0.7215
FF,7,5,3,2,0.7089
FF,7,5,3,3,0.6982
FF,7,5,3,4,0.7022
FF,7,5,3,5,0.6903
FF,7,5,3,6,0.7122
FF,7,5,3,7,0.7207
