,0,1,2,3,4,5,6,7,8,9
40,80.4,86.6,92.0,95.0,97.8,98.2,98.6,99.4,99.2,99.6
41,62.0,77.2,86.8,92.0,94.8,97.2,97.4,98.4,99.0,99.4
42,4.8,6.0,4.2,6.8,8.4,8.8,5.0,9.0,8.6,14.0
43,6.6,10.0,11.2,15.4,12.8,10.0,10.6,10.6,13.8,13.6
44,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.4
45,35.6,56.6,77.2,85.8,91.4,96.0,96.8,97.4,98.4,99.4
46,36.4,47.4,66.4,78.6,86.8,92.2,95.6,97.0,97.8,98.8
47,80.4,86.4,92.4,96.2,97.4,98.6,99.8,99.8,100.0,100.0
48,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
49,35.8,57.2,74.2,83.2,88.0,92.0,94.4,96.6,97.8,98.8
50,2.2,0.6,3.2,3.0,1.8,1.6,1.0,0.4,0.4,1.4
51,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.4
52,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
53,78.8,88.0,91.2,93.2,95.6,96.8,97.8,99.0,99.6,99.8
54,61.6,74.6,85.0,91.2,94.6,97.8,98.0,98.6,99.4,99.6
55,37.8,61.6,70.8,77.4,87.0,92.6,95.0,97.4,98.2,99.0
56,2.6,1.4,2.0,2.2,1.0,1.2,1.2,1.4,1.4,1.8
57,1.2,1.8,2.0,1.8,0.0,1.0,1.8,0.4,1.4,1.8
58,81.0,87.6,91.2,93.2,96.2,98.6,99.2,99.6,99.4,99.8
59,15.6,28.2,36.8,44.2,58.6,70.4,78.4,88.4,93.2,97.0
60,57.6,74.6,84.4,90.4,93.8,95.2,95.4,98.0,98.6,98.8
61,98.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
62,0.4,0.8,1.0,0.0,0.0,0.4,0.2,0.0,0.0,0.4
63,1.0,2.8,1.8,0.6,1.0,3.2,0.0,2.4,1.0,2.0
64,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.6,0.2
65,11.2,7.6,9.2,5.8,6.4,4.2,6.8,5.4,6.4,9.2
66,5.4,7.2,9.8,10.8,11.4,11.2,13.4,16.4,10.6,16.0
67,1.8,0.4,0.4,1.6,0.6,0.8,3.2,2.2,1.8,3.4
68,38.0,55.2,69.2,81.0,88.6,94.2,97.0,98.2,99.2,99.4
69,40.8,62.4,73.4,82.0,88.6,92.8,94.6,96.8,98.6,99.2
70,62.2,79.2,86.4,92.2,95.8,97.6,98.2,99.2,99.6,99.6
71,65.4,79.2,84.8,89.8,94.6,97.4,99.0,99.2,99.2,99.4
72,99.2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
